"Url","Item_Name","Item_Price","Date_Checked"
"https://www.amazon.in/realme-Classic-Wired-Earphones-Microphone/dp/B08G28Z33M/ref=sr_1_9?keywords=earphones&qid=1672160829&sr=8-9","realme Buds Classic Wired in Ear Earphones with Mic (Black)","399","12/27/22"
"https://www.amazon.in/Zebronics-Zeb-Buds-30-Multifunction-Lightweight/dp/B09SGGN3VY/ref=sr_1_10_mod_primary_new?keywords=earphones&qid=1672160829&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-10","ZEBRONICS Zeb-Buds 30 3.5Mm Stereo Wired in Ear Earphones with Mic for Calling, Volume Control, Multifunction Button, 14Mm Drivers, Stylish Eartip,1.2 Meter Durable Cable and Lightweight Design(Blue)","298","12/27/22"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzA2MzUyMzUxNjc3MzkzOjE2NzIxNjA4Mjk6c3BfbXRmOjIwMDY1NTM5MzczMTk4OjowOjo&url=%2FBoult-Audio-Probass-Bluetooth-Earphones%2Fdp%2FB0B6PF7Y5H%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dearphones%26qid%3D1672160829%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","Boult Audio FXCharge with ENC, 32H Playtime, 5min=7H Type C Fast Charging, Zen ENC, 14.2 mm BoomX Rich Bass, IPX5, Probass Bluetooth Wireless in Ear Earphones Neckband with mic(Green)","999","12/27/22"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzA2MzUyMzUxNjc3MzkzOjE2NzIxNjA4Mjk6c3BfbXRmOjIwMDI4NzI1ODIzMzk4OjowOjo&url=%2FBoult-Audio-BassBuds-Oak-Earphones%2Fdp%2FB091JF2TFD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dearphones%26qid%3D1672160829%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Brown)","499","12/27/22"
"https://www.amazon.in/BassHeads-122-Earphones-Tangle-Straight/dp/B07QZ3CZ48/ref=sr_1_13?keywords=earphones&qid=1672160829&sr=8-13","boAt BassHeads 122 Wired Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)","299","12/27/22"
"https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GPXXNNG/ref=sr_1_14?keywords=earphones&qid=1672160829&sr=8-14","boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink)","363","12/27/22"
"https://www.amazon.in/Pride-Lite-Headphones-Cancelling-Tangle-Free/dp/B08SFFS6CK/ref=sr_1_15?keywords=earphones&qid=1672160829&sr=8-15","PTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux (Grey)","229","12/27/22"
"https://www.amazon.in/Mivi-Earphones-Powerful-Tangle-Length/dp/B093LMBJB6/ref=sr_1_16?keywords=earphones&qid=1672160829&sr=8-16","Mivi Rock and Roll E5 Wired In Ear Earphones with HD Sound and Extra Powerful Bass with Mic, Tangle Free & Extra Length Cable | Earphones for Mobile | Black","249","12/27/22"
"https://www.amazon.in/BassHeads-162-Secure-Braided-Earphones/dp/B07KXR889N/ref=sr_1_17?keywords=earphones&qid=1672160829&sr=8-17","boAt Bassheads 162 in Ear Wired Earphones with Mic(Active Black)","399","12/27/22"
"https://www.amazon.in/OnePlus-Earphones-Enhanced-Dynamic-Earphone/dp/B0B937R948/ref=sr_1_18?keywords=earphones&qid=1672160829&sr=8-18","OnePlus Nord Wired Earphones with mic, 3.5mm Audio Jack, Enhanced bass with 9.2mm Dynamic Drivers, in-Ear Wired Earphone - Black","799","12/27/22"
"https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Compatible-Green/dp/B09R24JBYV/ref=sr_1_19?keywords=earphones&qid=1672160829&sr=8-19","ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)","149","12/27/22"
"https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Drivers-Compatible/dp/B09R24HMNW/ref=sr_1_20?keywords=earphones&qid=1672160829&sr=8-20","ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)","149","12/27/22"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzA2MzUyMzUxNjc3MzkzOjE2NzIxNjA4Mjk6c3BfYnRmOjIwMTA0MjY5MjE2NTk4OjowOjo&url=%2FNoise-Launched-Neckband-Playtime-Instacharge%2Fdp%2FB0BLNQHDJ5%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dearphones%26qid%3D1672160829%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","Noise Newly Launched Bravo Neckband with Upto 35 Hours of Playtime, Instacharge (10-min Charge=10-hrs Playtime), ESR,10mm Driver, Dual Pairing and BT v5.2 (Jet Black)","899","12/27/22"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzA2MzUyMzUxNjc3MzkzOjE2NzIxNjA4Mjk6c3BfYnRmOjIwMDk2NDI2MjE5Mjk4OjowOjo&url=%2FBoult-Audio-Maverick-Playtime-Charging%2Fdp%2FB0BBGJPX7X%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dearphones%26qid%3D1672160829%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","Boult Audio Maverick with 35H Playtime, 45ms Low Latency Combat Gaming Mode, Zen Mode Quad Mic ENC, Type C Fast Charging (10Mins=120Mins), 10mm Driver BoomX Bass True Wireless in Ear Earbuds (Black)","1,799","12/27/22"
